VIT Branch,Subject Branch,CGPA,Placement got
Bhopal,B.Tech ECE (AI & Cybernetics),7.12,No
Chennai,B.Tech CSE (Health Informatics),8.72,No
Bhopal,B.Tech Electronics & Communication Engineering,7.77,No
Chennai,B.Tech Computer Science & Engineering,8.47,Yes
AP,B.Tech Computer Science & Engineering,5.78,No
Vellore,B.Tech Computer Science & Engineering,7.49,No
Vellore,B.Tech Computer Science & Engineering,6.48,No
Vellore,B.Tech Electronics & Communication Engineering,7.77,No
Vellore,B.Tech Computer Science & Engineering,7.74,No
Vellore,B.Tech Computer Science & Engineering,7.86,No
Vellore,B.Tech Computer Science & Engineering,9.27,Yes
Vellore,B.Tech Computer Science & Engineering,7.17,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),5.31,No
AP,B.Tech Computer Science & Engineering,8.11,Yes
Chennai,B.Tech CSE (AI & ML),9.53,Yes
Vellore,M.Tech VLSI Design,6.87,No
Chennai,B.Tech Computer Science & Engineering,5.88,No
Vellore,B.Tech Electronics & Communication Engineering,5.38,No
Chennai,B.Tech Computer Science & Engineering,9.23,Yes
Bhopal,B.Tech Computer Science & Engineering,6.37,No
Vellore,M.Tech CSE (Cyber Security),8.81,Yes
AP,B.Tech CSE (AI & ML),5.54,No
Vellore,M.Tech CSE (Cyber Security),6.94,No
AP,B.Tech Computer Science & Engineering,8.91,No
Vellore,B.Tech Computer Science & Engineering,5.81,No
Vellore,B.Tech ECE (AI & Cybernetics),6.02,No
Chennai,B.Tech Computer Science & Engineering,8.79,Yes
Vellore,B.Tech Computer Science & Engineering,7.44,No
AP,B.Tech CSE (E-Commerce Technology),6.33,No
Vellore,B.Tech CSE (AI & ML),9.45,Yes
AP,B.Tech Computer Science & Engineering,7.35,No
Vellore,B.Tech Computer Science & Engineering,6.77,No
AP,B.Tech CSE (E-Commerce Technology),9.52,Yes
Bhopal,M.Tech CSE (Cyber Security),8.55,Yes
Vellore,B.Tech Computer Science & Engineering,7.01,No
Chennai,B.Tech CSE (AI & ML),6.94,No
Chennai,B.Tech Computer Science & Engineering,5.88,No
Chennai,B.Tech CSE (Education Technology),5.39,No
Vellore,B.Tech Computer Science & Engineering,9.36,Yes
Bhopal,B.Tech Computer Science & Engineering,9.16,Yes
Chennai,B.Tech Mechanical Engineering,7.76,No
AP,B.Tech CSE (Education Technology),9.04,No
AP,B.Tech Computer Science & Engineering,5.6,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),8.7,Yes
AP,B.Tech Computer Science & Engineering,6.61,No
Vellore,B.Tech Mechanical Engineering,9.8,No
Bhopal,B.Tech Mechanical Engineering,8.18,No
Chennai,B.Tech CSE (E-Commerce Technology),6.81,No
Bhopal,B.Tech Computer Science & Engineering,7.77,No
AP,B.Tech Computer Science & Engineering,6.33,No
AP,B.Tech Computer Science & Engineering,5.44,No
Chennai,B.Tech CSE (E-Commerce Technology),6.04,No
Bhopal,B.Tech CSE (Education Technology),5.84,No
Chennai,B.Tech Computer Science & Engineering,7.8,No
Chennai,B.Tech ECE (AI & Cybernetics),6.87,No
Chennai,M.Tech CSE (Cyber Security),5.45,No
Vellore,M.Tech AI & Data Science,7.87,No
Vellore,B.Tech Electronics & Communication Engineering,5.6,No
AP,B.Tech Computer Science & Engineering,9.05,Yes
Vellore,B.Tech Computer Science & Engineering,5.67,No
Chennai,B.Tech Computer Science & Engineering,6.89,No
Chennai,B.Tech Computer Science & Engineering,8.34,Yes
Vellore,B.Tech Computer Science & Engineering,5.1,No
Vellore,B.Tech Electronics & Communication Engineering,6.09,No
Chennai,B.Tech Electronics & Communication Engineering,6.05,No
Chennai,B.Tech CSE (Health Informatics),5.46,No
Chennai,B.Tech Computer Science & Engineering,7.33,No
Chennai,M.Tech AI & Data Science,7.56,No
Chennai,B.Tech CSE (Health Informatics),7.1,No
Chennai,B.Tech CSE (Education Technology),9.08,Yes
Bhopal,B.Tech Computer Science & Engineering,6.94,No
Vellore,B.Tech CSE (Education Technology),7.4,No
Chennai,B.Tech CSE (Cloud Computing & Automation),8.49,Yes
Bhopal,B.Tech Computer Science & Engineering,6.31,No
AP,B.Tech Computer Science & Engineering,5.85,No
AP,B.Tech Computer Science & Engineering,8.26,No
Vellore,B.Tech CSE (Health Informatics),8.59,Yes
Bhopal,B.Tech ECE (AI & Cybernetics),7.63,No
AP,B.Tech Computer Science & Engineering,5.45,No
Bhopal,B.Tech Mechanical Eng (AI & Robotics),5.43,No
Vellore,B.Tech Computer Science & Engineering,9.7,No
Bhopal,B.Tech Computer Science & Engineering,6.87,No
Vellore,B.Tech Computer Science & Engineering,9.39,Yes
Chennai,B.Tech Computer Science & Engineering,6.94,No
Vellore,B.Tech CSE (AI & ML),7.89,No
AP,B.Tech Computer Science & Engineering,9.29,Yes
AP,B.Tech Computer Science & Engineering,6.43,No
Chennai,B.Tech Computer Science & Engineering,8.23,Yes
Vellore,B.Tech Computer Science & Engineering,9.36,Yes
Vellore,B.Tech Electronics & Communication Engineering,7.23,No
AP,B.Tech Electronics & Communication Engineering,9.7,Yes
Chennai,B.Tech Computer Science & Engineering,8.62,No
AP,B.Tech Computer Science & Engineering,8.45,Yes
Bhopal,B.Tech Mechanical Engineering,5.06,No
Bhopal,B.Tech Computer Science & Engineering,9.3,No
AP,B.Tech CSE (E-Commerce Technology),5.04,No
Vellore,B.Tech Computer Science & Engineering,8.72,Yes
Vellore,Other,6.2,No
AP,B.Tech Computer Science & Engineering,8.83,No
Vellore,B.Tech Computer Science & Engineering,5.35,No
Chennai,B.Tech ECE (AI & Cybernetics),9.92,No
Vellore,B.Tech Computer Science & Engineering,5.06,No
Vellore,B.Tech Computer Science & Engineering,6.21,No
Vellore,B.Tech Computer Science & Engineering,7.83,No
AP,B.Tech Electronics & Communication Engineering,6.94,No
Vellore,B.Tech Computer Science & Engineering,5.01,No
Vellore,B.Tech CSE (Education Technology),9.34,Yes
Bhopal,B.Tech Computer Science & Engineering,9.16,Yes
AP,B.Tech Computer Science & Engineering,6.18,No
Vellore,B.Tech Computer Science & Engineering,7.94,No
Vellore,B.Tech Computer Science & Engineering,8.56,No
Chennai,B.Tech Computer Science & Engineering,6.47,No
Chennai,B.Tech Computer Science & Engineering,5.5,No
Vellore,B.Tech Computer Science & Engineering,6.83,No
Bhopal,B.Tech CSE (AI & ML),6.46,No
Chennai,B.Tech Computer Science & Engineering,8.48,Yes
Chennai,B.Tech Computer Science & Engineering,9.33,Yes
Chennai,B.Tech Computer Science & Engineering,7.51,No
AP,B.Tech Computer Science & Engineering,9.73,Yes
Vellore,B.Tech Computer Science & Engineering,7.71,No
Vellore,B.Tech Computer Science & Engineering,9.2,Yes
Vellore,B.Tech ECE (AI & Cybernetics),7.88,No
Vellore,M.Tech CSE (Cyber Security),5.73,No
Bhopal,B.Tech Computer Science & Engineering,7.03,No
AP,B.Tech Computer Science & Engineering,7.96,No
Chennai,B.Tech Computer Science & Engineering,8.92,Yes
Vellore,B.Tech Computer Science & Engineering,9.38,Yes
Vellore,B.Tech Computer Science & Engineering,8.79,No
Vellore,B.Tech CSE (Education Technology),8.32,Yes
Chennai,B.Tech Computer Science & Engineering,9.23,No
Vellore,B.Tech Computer Science & Engineering,8.04,Yes
AP,B.Tech Computer Science & Engineering,9.3,No
Vellore,B.Tech Computer Science & Engineering,8.9,Yes
Vellore,B.Tech Computer Science & Engineering,9.65,Yes
Vellore,B.Tech Computer Science & Engineering,7.16,No
Vellore,B.Tech Computer Science & Engineering,5.62,No
AP,B.Tech ECE (AI & Cybernetics),8.59,No
Chennai,B.Tech Computer Science & Engineering,7.06,No
Chennai,B.Tech CSE (AI & ML),9.73,No
Bhopal,M.Tech CSE (Cyber Security),7.39,No
Bhopal,B.Tech CSE (Education Technology),5.72,No
Vellore,B.Tech Computer Science & Engineering,6.75,No
AP,B.Tech Computer Science & Engineering,6.86,No
Vellore,B.Tech CSE (E-Commerce Technology),5.25,No
Vellore,B.Tech Computer Science & Engineering,7.84,No
AP,B.Tech CSE (Cyber Security & Digital Forensics),8.7,Yes
Vellore,M.Tech AI & Data Science,5.79,No
Vellore,B.Tech Electronics & Communication Engineering,9.56,Yes
Chennai,B.Tech Computer Science & Engineering,8.85,No
AP,B.Tech Computer Science & Engineering,5.42,No
Chennai,B.Tech Computer Science & Engineering,7.27,No
Bhopal,B.Tech Computer Science & Engineering,9.23,No
Vellore,B.Tech Computer Science & Engineering,8.71,No
AP,B.Tech CSE (AI & ML),6.72,No
Vellore,B.Tech CSE (E-Commerce Technology),7.86,No
Bhopal,B.Tech Computer Science & Engineering,7.03,No
AP,M.Tech VLSI Design,9.58,Yes
Vellore,B.Tech CSE (Education Technology),8.17,No
Bhopal,B.Tech Mechanical Engineering,5.37,No
AP,B.Tech ECE (AI & Cybernetics),8.95,No
Vellore,B.Tech Computer Science & Engineering,5.43,No
Vellore,B.Tech Computer Science & Engineering,7.98,No
Chennai,B.Tech CSE (E-Commerce Technology),8.73,Yes
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),5.94,No
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),7.25,No
Chennai,B.Tech Computer Science & Engineering,9.87,Yes
Vellore,B.Tech CSE (Health Informatics),8.34,Yes
Chennai,B.Tech Computer Science & Engineering,6.11,No
Vellore,B.Tech CSE (Health Informatics),6.72,No
Chennai,B.Tech Computer Science & Engineering,5.01,No
Bhopal,B.Tech Computer Science & Engineering,7.99,No
Vellore,B.Tech Computer Science & Engineering,8.33,No
Chennai,B.Tech CSE (AI & ML),9.43,Yes
Vellore,B.Tech Computer Science & Engineering,7.39,No
AP,B.Tech Computer Science & Engineering,9.24,No
Vellore,B.Tech Computer Science & Engineering,6.59,No
Chennai,B.Tech Computer Science & Engineering,8.95,No
Vellore,B.Tech CSE (AI & ML),6.32,No
Vellore,M.Tech VLSI Design,9.15,Yes
Chennai,B.Tech Computer Science & Engineering,5.84,No
Vellore,B.Tech CSE (E-Commerce Technology),8.22,No
Bhopal,B.Tech Electronics & Communication Engineering,6.34,No
AP,B.Tech Computer Science & Engineering,7.02,No
AP,B.Tech CSE (AI & ML),9.63,No
Bhopal,B.Tech CSE (AI & ML),7.51,No
Vellore,B.Tech Computer Science & Engineering,7.28,No
Chennai,B.Tech Computer Science & Engineering,9.01,Yes
Chennai,M.Tech VLSI Design,9.4,No
Bhopal,M.Tech VLSI Design,5.31,No
Vellore,B.Tech CSE (Education Technology),9.47,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),9.32,Yes
Vellore,B.Tech Computer Science & Engineering,9.6,No
Vellore,B.Tech Electronics & Communication Engineering,9.65,Yes
Bhopal,B.Tech Computer Science & Engineering,7.48,No
AP,B.Tech Electronics & Communication Engineering,8.46,Yes
AP,B.Tech Computer Science & Engineering,6.61,No
Vellore,B.Tech CSE (Cloud Computing & Automation),6.34,No
Chennai,B.Tech Computer Science & Engineering,8.91,Yes
Vellore,B.Tech Computer Science & Engineering,8.9,Yes
Chennai,B.Tech Computer Science & Engineering,9.4,Yes
Bhopal,B.Tech CSE (AI & ML),6.59,No
Bhopal,B.Tech Computer Science & Engineering,8.96,Yes
Vellore,B.Tech Computer Science & Engineering,6.97,No
Bhopal,B.Tech CSE (AI & ML),5.95,No
Vellore,B.Tech Computer Science & Engineering,9.36,No
Bhopal,B.Tech CSE (AI & ML),5.74,No
Bhopal,B.Tech Computer Science & Engineering,9.05,No
AP,B.Tech Computer Science & Engineering,9.33,Yes
Chennai,B.Tech Computer Science & Engineering,5.11,No
Bhopal,B.Tech CSE (Cloud Computing & Automation),7.61,No
Vellore,B.Tech Computer Science & Engineering,5.15,No
AP,B.Tech Electronics & Communication Engineering,9.02,Yes
Chennai,B.Tech Computer Science & Engineering,7.62,No
Vellore,B.Tech Computer Science & Engineering,7.23,No
Vellore,B.Tech Computer Science & Engineering,5.62,No
Vellore,B.Tech Computer Science & Engineering,9.68,Yes
Bhopal,B.Tech Computer Science & Engineering,9.44,Yes
Chennai,B.Tech CSE (Education Technology),6.74,No
Chennai,B.Tech Computer Science & Engineering,8.44,Yes
Chennai,B.Tech Computer Science & Engineering,9.78,Yes
Vellore,B.Tech Computer Science & Engineering,7.44,No
Vellore,B.Tech Computer Science & Engineering,9.48,No
AP,B.Tech Computer Science & Engineering,7.92,No
Vellore,B.Tech Computer Science & Engineering,8.26,No
Chennai,B.Tech Computer Science & Engineering,6.92,No
Vellore,B.Tech Computer Science & Engineering,5.61,No
Vellore,B.Tech Computer Science & Engineering,8.08,Yes
Bhopal,B.Tech Computer Science & Engineering,7.44,No
Bhopal,B.Tech Computer Science & Engineering,6.74,No
Bhopal,B.Tech CSE (E-Commerce Technology),6.68,No
Bhopal,B.Tech Electronics & Communication Engineering,9.16,Yes
AP,B.Tech Computer Science & Engineering,6.16,No
Vellore,B.Tech Computer Science & Engineering,7.93,No
Vellore,M.Tech AI & Data Science,8.55,No
Vellore,B.Tech Computer Science & Engineering,8.37,Yes
Vellore,B.Tech Computer Science & Engineering,8.22,Yes
Vellore,B.Tech Computer Science & Engineering,9.69,No
Vellore,B.Tech Computer Science & Engineering,8.81,Yes
AP,B.Tech Electronics & Communication Engineering,8.36,Yes
Vellore,B.Tech Computer Science & Engineering,5.49,No
AP,B.Tech Computer Science & Engineering,6.77,No
Vellore,B.Tech Computer Science & Engineering,7.26,No
Vellore,B.Tech Computer Science & Engineering,6.0,No
Vellore,B.Tech CSE (Cloud Computing & Automation),7.04,No
AP,B.Tech Computer Science & Engineering,8.77,Yes
Vellore,B.Tech Computer Science & Engineering,6.21,No
Chennai,B.Tech Computer Science & Engineering,8.63,Yes
Chennai,B.Tech Computer Science & Engineering,5.95,No
Bhopal,B.Tech Computer Science & Engineering,7.62,No
AP,B.Tech Computer Science & Engineering,5.01,No
Vellore,B.Tech Computer Science & Engineering,7.24,No
Vellore,B.Tech Electronics & Communication Engineering,8.83,Yes
Vellore,B.Tech Computer Science & Engineering,8.98,No
Vellore,B.Tech Electronics & Communication Engineering,7.0,No
Vellore,B.Tech CSE (Health Informatics),5.19,No
Chennai,B.Tech Computer Science & Engineering,5.26,No
AP,B.Tech Computer Science & Engineering,6.95,No
AP,B.Tech ECE (AI & Cybernetics),7.35,No
Vellore,B.Tech Computer Science & Engineering,8.86,No
Vellore,B.Tech Computer Science & Engineering,7.18,No
Vellore,B.Tech CSE (E-Commerce Technology),8.49,Yes
AP,B.Tech Computer Science & Engineering,6.74,No
Vellore,B.Tech Electronics & Communication Engineering,9.27,Yes
AP,B.Tech Computer Science & Engineering,6.48,No
AP,B.Tech CSE (AI & ML),5.45,No
AP,B.Tech Computer Science & Engineering,5.66,No
Vellore,M.Tech CSE (Cyber Security),9.59,Yes
Vellore,B.Tech CSE (Cloud Computing & Automation),7.75,No
Chennai,B.Tech CSE (AI & ML),7.64,No
Vellore,B.Tech Electronics & Communication Engineering,8.38,Yes
Vellore,B.Tech ECE (AI & Cybernetics),8.88,No
Vellore,B.Tech Computer Science & Engineering,5.31,No
Chennai,B.Tech Electronics & Communication Engineering,9.44,Yes
Vellore,B.Tech Electronics & Communication Engineering,5.94,No
AP,B.Tech Mechanical Eng (AI & Robotics),5.34,No
Vellore,B.Tech Computer Science & Engineering,7.76,No
Chennai,M.Tech VLSI Design,5.63,No
Vellore,B.Tech Computer Science & Engineering,8.25,No
Chennai,B.Tech CSE (E-Commerce Technology),7.62,No
Bhopal,B.Tech Computer Science & Engineering,5.01,No
Chennai,B.Tech Computer Science & Engineering,9.27,No
Vellore,B.Tech Computer Science & Engineering,9.52,Yes
Chennai,B.Tech Mechanical Eng (AI & Robotics),9.79,No
Chennai,M.Tech VLSI Design,5.34,No
Chennai,B.Tech Computer Science & Engineering,7.44,No
AP,B.Tech CSE (Education Technology),7.46,No
Vellore,B.Tech Computer Science & Engineering,7.48,No
Vellore,B.Tech Computer Science & Engineering,7.12,No
Vellore,B.Tech Computer Science & Engineering,8.78,Yes
Bhopal,B.Tech Computer Science & Engineering,8.93,No
Vellore,B.Tech Computer Science & Engineering,7.06,No
Bhopal,B.Tech Computer Science & Engineering,5.43,No
Chennai,B.Tech Computer Science & Engineering,5.64,No
Chennai,B.Tech Computer Science & Engineering,7.59,No
Bhopal,B.Tech ECE (AI & Cybernetics),8.48,Yes
Chennai,B.Tech Computer Science & Engineering,8.24,Yes
AP,B.Tech Computer Science & Engineering,5.28,No
Vellore,B.Tech Computer Science & Engineering,6.1,No
Bhopal,B.Tech Computer Science & Engineering,6.24,No
AP,B.Tech Computer Science & Engineering,6.74,No
AP,B.Tech Computer Science & Engineering,7.44,No
Vellore,B.Tech Computer Science & Engineering,7.88,No
AP,B.Tech Computer Science & Engineering,6.92,No
Chennai,B.Tech Computer Science & Engineering,9.53,No
Vellore,B.Tech CSE (Education Technology),5.64,No
Vellore,B.Tech CSE (AI & ML),9.72,Yes
AP,B.Tech CSE (Health Informatics),5.8,No
Bhopal,B.Tech Computer Science & Engineering,5.21,No
Chennai,B.Tech Computer Science & Engineering,7.4,No
Chennai,B.Tech CSE (Cloud Computing & Automation),5.98,No
AP,B.Tech Computer Science & Engineering,6.02,No
Chennai,B.Tech Computer Science & Engineering,9.8,Yes
Bhopal,B.Tech Computer Science & Engineering,8.6,No
Chennai,B.Tech Computer Science & Engineering,9.24,No
AP,B.Tech Computer Science & Engineering,6.32,No
Bhopal,B.Tech CSE (Education Technology),8.34,No
AP,B.Tech Computer Science & Engineering,6.02,No
Vellore,B.Tech ECE (AI & Cybernetics),9.86,No
Chennai,B.Tech Mechanical Engineering,6.86,No
Vellore,B.Tech CSE (Cyber Security & Digital Forensics),7.15,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),7.35,No
Chennai,B.Tech Computer Science & Engineering,8.82,Yes
Vellore,B.Tech CSE (E-Commerce Technology),6.22,No
AP,B.Tech Computer Science & Engineering,7.35,No
Vellore,B.Tech Computer Science & Engineering,7.51,No
Bhopal,B.Tech Computer Science & Engineering,5.55,No
Vellore,B.Tech Computer Science & Engineering,8.54,Yes
Vellore,B.Tech Mechanical Engineering,6.37,No
Vellore,B.Tech Computer Science & Engineering,8.31,No
Vellore,B.Tech Computer Science & Engineering,5.56,No
Vellore,B.Tech Computer Science & Engineering,5.04,No
Bhopal,B.Tech Computer Science & Engineering,5.1,No
Vellore,B.Tech Computer Science & Engineering,8.22,Yes
Bhopal,B.Tech Computer Science & Engineering,5.53,No
Bhopal,B.Tech Computer Science & Engineering,8.22,Yes
Chennai,B.Tech Mechanical Eng (AI & Robotics),5.38,No
Vellore,B.Tech ECE (AI & Cybernetics),6.94,No
Vellore,B.Tech ECE (AI & Cybernetics),8.44,Yes
Chennai,B.Tech CSE (Education Technology),9.36,No
Vellore,B.Tech Computer Science & Engineering,5.21,No
Vellore,B.Tech Computer Science & Engineering,7.11,No
Chennai,B.Tech CSE (AI & ML),9.12,Yes
Vellore,B.Tech Computer Science & Engineering,9.2,No
Vellore,B.Tech CSE (E-Commerce Technology),7.82,No
Vellore,B.Tech Computer Science & Engineering,5.43,No
Vellore,B.Tech Computer Science & Engineering,6.64,No
Vellore,B.Tech Computer Science & Engineering,8.89,Yes
Vellore,B.Tech Computer Science & Engineering,6.28,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),5.76,No
Chennai,B.Tech Computer Science & Engineering,7.45,No
Bhopal,B.Tech Electronics & Communication Engineering,5.53,No
Bhopal,B.Tech Mechanical Eng (AI & Robotics),7.19,No
Vellore,B.Tech Computer Science & Engineering,5.12,No
Vellore,B.Tech Computer Science & Engineering,9.6,Yes
Chennai,B.Tech Computer Science & Engineering,7.87,No
Chennai,B.Tech Electronics & Communication Engineering,7.55,No
Bhopal,B.Tech CSE (E-Commerce Technology),7.79,No
Vellore,M.Tech VLSI Design,7.89,No
AP,B.Tech Computer Science & Engineering,5.32,No
Vellore,B.Tech Electronics & Communication Engineering,9.34,Yes
Vellore,B.Tech CSE (AI & ML),6.83,No
AP,B.Tech Computer Science & Engineering,8.18,No
Vellore,B.Tech CSE (E-Commerce Technology),6.22,No
AP,B.Tech Computer Science & Engineering,7.33,No
Chennai,B.Tech Mechanical Engineering,8.19,Yes
Chennai,M.Tech VLSI Design,6.18,No
Chennai,B.Tech Computer Science & Engineering,5.77,No
Vellore,B.Tech Electronics & Communication Engineering,6.06,No
AP,B.Tech CSE (AI & ML),9.74,Yes
Vellore,B.Tech Computer Science & Engineering,7.16,No
Vellore,B.Tech Electronics & Communication Engineering,9.87,No
AP,B.Tech Mechanical Engineering,5.38,No
Bhopal,B.Tech Mechanical Eng (AI & Robotics),5.31,No
Vellore,B.Tech CSE (AI & ML),9.01,No
Vellore,B.Tech Computer Science & Engineering,5.69,No
Vellore,B.Tech Computer Science & Engineering,7.49,No
AP,B.Tech Computer Science & Engineering,5.86,No
Bhopal,B.Tech Computer Science & Engineering,8.45,Yes
Bhopal,B.Tech CSE (E-Commerce Technology),8.11,Yes
Bhopal,B.Tech CSE (AI & ML),9.24,Yes
Vellore,B.Tech Computer Science & Engineering,6.29,No
Bhopal,B.Tech CSE (Education Technology),7.54,No
Vellore,B.Tech Computer Science & Engineering,6.99,No
Vellore,B.Tech Computer Science & Engineering,7.7,No
Bhopal,B.Tech Computer Science & Engineering,9.59,No
Vellore,B.Tech Computer Science & Engineering,8.57,Yes
AP,B.Tech Mechanical Eng (AI & Robotics),9.52,Yes
Vellore,B.Tech Computer Science & Engineering,9.78,No
AP,B.Tech ECE (AI & Cybernetics),9.74,Yes
Bhopal,M.Tech VLSI Design,5.7,No
Vellore,B.Tech Computer Science & Engineering,5.48,No
Vellore,B.Tech CSE (AI & ML),8.67,Yes
Vellore,B.Tech CSE (AI & ML),5.64,No
AP,B.Tech Computer Science & Engineering,7.23,No
Vellore,B.Tech Computer Science & Engineering,6.9,No
Vellore,M.Tech AI & Data Science,9.94,Yes
Chennai,B.Tech CSE (E-Commerce Technology),8.24,No
Vellore,B.Tech Computer Science & Engineering,5.87,No
AP,B.Tech CSE (E-Commerce Technology),9.04,Yes
Vellore,B.Tech Computer Science & Engineering,8.87,Yes
Chennai,B.Tech Computer Science & Engineering,7.44,No
Bhopal,B.Tech ECE (AI & Cybernetics),6.94,No
Chennai,B.Tech Mechanical Engineering,6.47,No
Bhopal,B.Tech Computer Science & Engineering,6.34,No
Bhopal,B.Tech CSE (AI & ML),5.01,No
AP,B.Tech Computer Science & Engineering,9.07,Yes
AP,B.Tech Computer Science & Engineering,6.06,No
Bhopal,B.Tech Computer Science & Engineering,7.99,No
Bhopal,B.Tech CSE (Cyber Security & Digital Forensics),7.21,No
Chennai,B.Tech Computer Science & Engineering,7.21,No
Vellore,B.Tech CSE (Education Technology),6.26,No
Vellore,B.Tech Computer Science & Engineering,8.54,Yes
Vellore,B.Tech Computer Science & Engineering,8.66,Yes
Vellore,B.Tech Computer Science & Engineering,7.73,No
Vellore,B.Tech Computer Science & Engineering,9.9,No
Chennai,B.Tech Computer Science & Engineering,5.99,No
Vellore,B.Tech Computer Science & Engineering,8.4,No
Bhopal,B.Tech Computer Science & Engineering,5.13,No
Bhopal,B.Tech Computer Science & Engineering,8.76,Yes
Chennai,B.Tech Computer Science & Engineering,6.73,No
Vellore,B.Tech Computer Science & Engineering,6.94,No
Chennai,B.Tech Computer Science & Engineering,7.25,No
Bhopal,B.Tech Mechanical Eng (AI & Robotics),5.33,No
Vellore,M.Tech VLSI Design,9.25,No
Chennai,B.Tech Computer Science & Engineering,8.14,Yes
Vellore,B.Tech Mechanical Engineering,5.66,No
Chennai,B.Tech CSE (Education Technology),5.23,No
Vellore,B.Tech Computer Science & Engineering,9.04,Yes
Vellore,B.Tech Computer Science & Engineering,9.05,Yes
Chennai,B.Tech Computer Science & Engineering,5.05,No
Vellore,B.Tech CSE (Education Technology),8.56,Yes
Vellore,B.Tech Computer Science & Engineering,6.26,No
Chennai,B.Tech ECE (AI & Cybernetics),9.53,Yes
